10, 98, 239
3, 36, 213
5, 74, 237
9, 15, 210
9, 75, 224
16, 99, 254
5, 70, 239
3, 12, 206
10, 93, 245
2, 55, 236
2, 14, 198
3, 3, 157
7, 81, 247
4, 25, 206
16, 50, 217
3, 24, 216
13, 14, 178
7, 14, 193
4, 21, 208
9, 47, 219
5, 55, 237
10, 82, 244
5, 39, 229
12, 71, 227
17, 97, 238
8, 36, 221
4, 7, 165
14, 42, 197
1, 16, 196
29, 112, 241
3, 46, 217
5, 2, 202
9, 54, 235
38, 106, 241
1, 9, 193
17, 83, 232
4, 62, 222
1, 11, 202
5, 80, 243
1, 23, 212
29, 100, 244
20, 83, 233
32, 105, 239
7, 62, 223
19, 84, 229
29, 93, 241
6, 42, 220
4, 69, 238
3, 27, 217
10, 70, 223
7, 55, 220
19, 77, 226
3, 2, 160
3, 13, 174
42, 107, 245
5, 10, 197
24, 99, 239
4, 38, 228
6, 2, 161
4, 29, 179
5, 3, 157
4, 6, 195
3, 9, 176
2, 54, 215
3, 71, 236
15, 33, 228
7, 96, 234
27, 99, 240
24, 84, 237
3, 1, 177
3, 20, 190
1, 33, 216
7, 89, 231
15, 70, 231
27, 92, 237
2, 65, 229
4, 36, 195
36, 102, 245
17, 100, 252
5, 54, 216
27, 85, 234
14, 64, 224
2, 61, 231
26, 86, 230
5, 47, 213
31, 112, 241
4, 72, 239
3, 8, 193
4, 5, 185
6, 57, 231
2, 37, 224
11, 63, 240
5, 61, 232
2, 46, 229
2, 30, 221
10, 87, 243
2, 49, 234
6, 94, 234
9, 62, 219
8, 20, 198
30, 83, 223
5, 95, 230
8, 23, 203
15, 104, 242
3, 15, 209
22, 83, 233
1, 19, 186
11, 14, 176
7, 68, 242
1, 63, 229
8, 16, 200
13, 77, 232
13, 80, 237
7, 19, 205
35, 114, 241
3, 26, 196
11, 21, 192
5, 95, 243
38, 116, 247
17, 74, 225
4, 53, 215
5, 71, 236
7, 61, 215
1, 97, 240
4, 46, 212
5, 20, 190
34, 118, 244
5, 64, 233
11, 21, 205
18, 102, 244
6, 33, 213
4, 60, 231
3, 40, 228
1, 41, 200
2, 22, 211
34, 103, 242
5, 8, 193
24, 97, 235
5, 27, 206
21, 82, 232
30, 100, 243
8, 40, 223
33, 107, 243
1, 36, 206
3, 7, 172
13, 16, 184
11, 28, 221
5, 105, 247
4, 83, 228
36, 108, 240
29, 109, 240
33, 93, 237
2, 1, 165
5, 15, 209
15, 84, 235
17, 96, 239
4, 94, 242
8, 19, 177
6, 51, 216
4, 78, 234
5, 8, 206
3, 55, 226
6, 60, 221
39, 108, 241
12, 68, 239
6, 63, 226
3, 48, 223
3, 7, 185
1, 20, 211
41, 119, 249
10, 30, 219
3, 50, 232
2, 52, 224
1, 10, 203
12, 102, 237
7, 78, 235
4, 63, 232
41, 112, 246
31, 106, 239
28, 91, 236
19, 74, 225
4, 75, 242
6, 32, 216
4, 59, 234
11, 99, 235
28, 84, 233
24, 96, 238
2, 55, 212
2, 14, 174
7, 15, 192
2, 93, 238
14, 80, 223
1, 35, 209
36, 111, 241
3, 84, 243
5, 40, 228
7, 11, 194
8, 41, 191
3, 17, 189
5, 77, 231
4, 33, 194
3, 29, 199
26, 90, 232
14, 87, 239
15, 16, 184
5, 70, 228
17, 84, 231
26, 83, 229
1, 54, 235
9, 29, 218
6, 80, 246
3, 24, 205
2, 6, 188
12, 15, 200
22, 104, 239
1, 2, 166
5, 7, 185
13, 63, 217
4, 35, 216
2, 96, 239
22, 99, 245
12, 22, 216
6, 103, 243
12, 41, 229
7, 14, 195
13, 67, 228
23, 108, 247
4, 39, 227
5, 55, 239
3, 61, 221
4, 74, 221
17, 37, 226
33, 84, 230
3, 54, 218
8, 96, 237
10, 14, 196
5, 92, 242
38, 110, 241
6, 40, 200
7, 21, 211
4, 6, 171
6, 42, 209
4, 69, 227
3, 46, 219
20, 76, 219
3, 30, 211
21, 76, 243
25, 82, 228
38, 106, 243
15, 71, 230
25, 85, 233
6, 54, 219
16, 68, 222
9, 21, 181
9, 100, 245
41, 106, 244
3, 53, 235
8, 80, 242
3, 37, 227
4, 6, 184
5, 24, 205
2, 31, 220
4, 2, 186
1, 6, 139
16, 68, 235
3, 64, 222
8, 65, 240
13, 91, 251
6, 88, 230
7, 69, 241
15, 19, 174
3, 78, 241
1, 38, 212
5, 6, 164
6, 64, 223
4, 91, 241
10, 48, 220
9, 13, 195
5, 5, 205
3, 71, 238
3, 4, 184
7, 10, 169
25, 59, 206
7, 92, 238
1, 45, 228
3, 31, 179
3, 8, 195
3, 52, 238
25, 28, 196
1, 56, 215
19, 102, 247
10, 22, 180
1, 74, 232
18, 103, 243
5, 61, 234
35, 91, 246
2, 46, 231
22, 49, 237
18, 77, 227
6, 8, 196
5, 34, 222
7, 5, 188
13, 68, 229
5, 37, 227
1, 63, 231
4, 12, 203
2, 13, 175
34, 100, 243
5, 46, 232
13, 61, 226
7, 102, 242
26, 104, 235
7, 19, 207
14, 100, 246
1, 55, 232
3, 45, 211
5, 23, 184
2, 8, 181
10, 65, 240
20, 74, 215
4, 19, 219
8, 64, 219
3, 21, 204
7, 5, 201
17, 74, 227
6, 70, 242
9, 38, 227
28, 81, 221
7, 39, 199
13, 102, 240
20, 81, 231
19, 108, 253
9, 12, 174
20, 74, 228
2, 11, 199
7, 53, 218
20, 77, 233
7, 37, 210
8, 1, 176
1, 73, 235
12, 38, 228
4, 60, 233
8, 45, 219
33, 112, 239
30, 108, 244
13, 71, 230
7, 46, 215
6, 7, 199
12, 72, 226
16, 59, 228
5, 11, 200
1, 18, 191
8, 52, 235
5, 89, 241
11, 27, 227
7, 53, 231
5, 38, 195
5, 10, 133
3, 62, 231
17, 96, 241
1, 25, 207
4, 78, 236
16, 100, 242
8, 81, 239
25, 110, 250
7, 13, 172
